LOCAL_CODE,Latitude,Longitude
(지번) 창동 7,37.6522379,127.0490713
(지번) 도봉동 657,37.6745597,127.0476891
(지번) 방학동 680-8,37.6640538,127.0422777
(지번) 창동 655-23,37.6465498,127.0338876
(지번) 방학동 718-3,37.6689233,127.0445592
(지번) 쌍문동 88-28,37.6484268,127.0336557
(지번) 창동 519-18,37.6334959,127.0394514
(지번) 창동 12,37.6530781,127.0498465
(지번) 창동 812,37.6470839,127.0352336
(지번) 창동 333-2,37.6518152,127.0461812
(지번) 쌍문동 98-24,37.6478608,127.0330673
(지번) 창동 655-1,37.6474558,127.0348544
(지번) 도봉동 275-1,37.6876086,127.0448801
(지번) 쌍문동 653,37.6564004,127.0387451
(지번) 방학동 466,37.6623937,127.0244620
(지번) 도봉동 582-24,37.6810361,127.0448168
(지번) 창2동 582-65,37.6404404,127.0371248
(지번) 창동 10,37.6527860,127.0499310
(지번) 창동 731-102,37.6572543,127.0401842
(지번) 방학동 596-1,37.6629553,127.0184233
(지번) 방학동 681-40,37.6638747,127.0410411
(지번) 쌍문동 123-61,37.6471236,127.0311500
(지번) 방학동 719-9,37.6693236,127.0456040
(지번) 방학동 283-2,37.6623140,127.0304575
(지번) 쌍문동 19-19,37.6592960,127.0356414
(지번) 도봉동 282-309,37.6880984,127.0420876
(지번) 도봉동 280-6,37.6877856,127.0431675
(지번) 도봉동 623-147,37.6713495,127.0460831
(지번) 창동 74-6,37.6525683,127.0466390
(지번) 창동 826,37.6557245,127.0428805
(지번) 창동 826,37.6557245,127.0428805
(지번) 창동 743-4,37.6607074,127.0491039
(지번) 방학동 703-65,37.6647447,127.0423690
(지번) 방학동 662-10,37.6644077,127.0346303
(지번) 창동 134-36,37.6531281,127.0462645
(지번) 쌍문3동 88-27,37.6493808,127.0344132
(지번) 방학동 668-32,37.6625830,127.0328353
(지번) 방학동 585,37.6626934,127.0208555
(지번) 방학동 463-5,37.6613420,127.0242544
(지번) 창동 296-37,37.6542047,127.0411029
(지번) 쌍문동 88-127,37.6507156,127.0356180
(지번) 창동 655-20,37.6473274,127.0344309
(지번) 방학동 741,37.6609300,127.0353057
(지번) 창동 12-2,37.6531839,127.0502988
(지번) 쌍문3동 88-106,37.6489424,127.0345483
(지번) 도봉동 603-32,37.6737439,127.0439986
(지번) 창동 731-1,37.6583265,127.0411129
(지번) 창동 661-38,37.6496986,127.0357434
(지번) 방학동 654-25,37.6684632,127.0430294
(지번) 방학동 680-7,37.6642836,127.0422352
(지번) 방학동 716-5,37.6664768,127.0456136
(지번) 창동 74-7,37.6526279,127.0464912
(지번) 방학동 685-3,37.6652484,127.0393725
(지번) 쌍문동 724-1,37.6463897,127.0257223
(지번) 방학동 665-13,37.6626900,127.0337505
(지번) 방학동 705-20,37.6671413,127.0435566
(지번) 도봉동 92-55,37.6774289,127.0454465
(지번) 창동 38-1,37.6457668,127.0531914
(지번) 방학동 704-28,37.6669309,127.0424724
(지번) 방학동 671-18,37.6620927,127.0350092
(지번) 도봉동 561-4,37.6846405,127.0457031
(지번) 방학동 676-3,37.6625937,127.0394781
(지번) 쌍문동 45-15,37.6576441,127.0371770
(지번) 쌍문동 423-94,37.6506165,127.0137634
(지번) 방학동 680-25,37.6631603,127.0411441
(지번) 창동 700-33,37.6527167,127.0376090
(지번) 창동 341,37.6507055,127.0407642
(지번) 쌍문동 422-80,37.6513811,127.0138945
(지번) 도봉동 281,37.6881358,127.0425115
(지번) 도봉동 622-58,37.6694679,127.0459282
(지번) 창동 10-3,37.6529489,127.0506270
(지번) 창동 135-14,37.6532157,127.0468543
(지번) 창동 593-9,37.6430415,127.0371860
(지번) 쌍문동 85-27,37.6513736,127.0341450
(지번) 방학동 671-18,37.6620927,127.0350092
(지번) 창동 75-1,37.6520820,127.0467993
(지번) 쌍문동 423-46,37.6511054,127.0133553
(지번) 창동 812,37.6470839,127.0352336
(지번) 쌍문동 422-36,37.6517511,127.0139301
(지번) 창동 655-20,37.6473274,127.0344309
(지번) 창동 657-126,37.6475269,127.0352982
(지번) 창동 805,37.6543746,127.0464976
(지번) 방학동 665-17,37.6625786,127.0332233
(지번) 창동 288-7,37.6552472,127.0430021
(지번) 방학동 690-87,37.6635108,127.0374014
(지번) 창동 661-32,37.6491525,127.0356671
(지번) 쌍문동 139-20,37.6507522,127.0305167
(지번) 방학동 719-3,37.6692595,127.0452598
(지번) 도봉동 629-26,37.6787171,127.0496696
(지번) 방학동 655-29,37.6680089,127.0420654
(지번) 창동 135-15,37.6527930,127.0469690
(지번) 방학동 548-1,37.6611143,127.0220737
(지번) 방학동 446-13,37.6624596,127.0277698
(지번) 쌍문동 492-3,37.6562365,127.0154571
(지번) 방학동 688-15,37.6638081,127.0407368
(지번) 창동 504-10,37.6327206,127.0422017
(지번) 창동 808,37.6572515,127.0483189
(지번) 방학동 673,37.6626251,127.0378014
(지번) 방학동 671,37.6623103,127.0349830
(지번) 창동 655-24,37.6465395,127.0340999
(지번) 도봉동 411-1,37.6862084,127.0373003
(지번) 창동 750-2,37.6588531,127.0415002
(지번) 도봉동 565-1,37.6838611,127.0451611
(지번) 방학동 651-1,37.6697342,127.0411312
(지번) 쌍문동 311,37.6510295,127.0287986
(지번) 도봉동 566,37.6841116,127.0441980
(지번) 쌍문동 630,37.6572260,127.0393781
(지번) 창동 700-29,37.6519705,127.0371641
(지번) 방학동 716-16,37.6663833,127.0449134
(지번) 창동 75-13,37.6518037,127.0466362
(지번) 쌍문동 714-22,37.6601403,127.0400901
(지번) 도봉동 282-23,37.6882575,127.0416077
(지번) 방학동 717-2,37.6673078,127.0448579
(지번) 창동 4,37.6529347,127.0492326
(지번) 창동 659-12,37.6486246,127.0350659
(지번) 도봉동 610-41,37.6704052,127.0407291
(지번) 창동 568-2,37.6407441,127.0404045
(지번) 방학동 718-7,37.6686632,127.0455326
(지번) 쌍문동 94-47,37.6485766,127.0325060
(지번) 도봉동 559-27,37.6864481,127.0456590
(지번) 창동 655-22,37.6473390,127.0348174
(지번) 도봉동 622-78,37.6695398,127.0451196
(지번) 도봉동 561-11,37.6840431,127.0457375
(지번) 창동 822,37.6534648,127.0457370
(지번) 창동 585-12,37.6402274,127.0361169
(지번) 도봉동 623-123,37.6719795,127.0463256
(지번) 도봉동 596-20,37.6779059,127.0447572
(지번) 쌍문동 423-91,37.6508066,127.0135615
(지번) 쌍문동 571,37.6577020,127.0384260
(지번) 창동 557-97,37.6384224,127.0381531
(지번) 도봉동 620-1,37.6711304,127.0432393
(지번) 창동 135-28,37.6525181,127.0471548
(지번) 방학동 635-9,37.6667118,127.0347345
(지번) 쌍문2동 631-1,37.6570251,127.0391044
(지번) 창동 10-3,37.6529489,127.0506270
(지번) 도봉동 281-14,37.6876770,127.0426106
(지번) 창동 135-14,37.6532157,127.0468543
(지번) 방학동 567-2,37.6616045,127.0231393
(지번) 창동 12-3,37.6532463,127.0505655
(지번) 방학동 701-46,37.6663723,127.0407917
(지번) 창동 261-6,37.6539983,127.0448003
(지번) 창동 743-28,37.6604926,127.0496336
(지번) 쌍문4동 218,37.6594356,127.0326185
(지번) 방학동 668-32,37.6625830,127.0328353
(지번) 창동 657-95,37.6471156,127.0357175
(지번) 창동 14,37.6536747,127.0509766
(지번) 쌍문동 19-15,37.6594828,127.0352590
(지번) 창동 4,37.6529347,127.0492326
(지번) 쌍문동 103-222,37.6460158,127.0322409
(지번) 쌍문동 422-82,37.6514371,127.0143167
(지번) 방학동 669-3,37.6621416,127.0329285
(지번) 쌍문동 688,37.6541737,127.0368298
(지번) 창동 731-34,37.6564110,127.0408692
(지번) 도봉동 622-63,37.6695891,127.0456530
(지번) 창동 9,37.6524499,127.0500529
(지번) 창동 635-5,37.6420905,127.0347620
(지번) 쌍문동 315-43,37.6473474,127.0300515
(지번) 창동 828,37.6446375,127.0331560
(지번) 창동 134-36,37.6531281,127.0462645
(지번) 창동 135-14,37.6532157,127.0468543
(지번) 방학1동 697-1,37.6643576,127.0369001
(지번) 방학동 715-9,37.6657755,127.0453787
(지번) 쌍문동 345,37.6492415,127.0266327
(지번) 도봉동 631-17,37.6755026,127.0480107
(지번) 창동 6,37.6526399,127.0493059
(지번) 방학동 718-7,37.6686632,127.0455326
(지번) 창동 135-28,37.6525181,127.0471548
(지번) 창동 3-3,37.6532392,127.0491283
(지번) 쌍문동 315-30,37.6472066,127.0302799
(지번) 도봉동 603-23,37.6736009,127.0431404
(지번) 창동 749-16,37.6594418,127.0417992
(지번) 방학동 659,37.6669958,127.0380377
(지번) 창동 331-2,37.6520591,127.0460881
(지번) 창동 74-8,37.6525537,127.0463482
(지번) 도봉동 657,37.6745597,127.0476891
(지번) 방학동 690-1,37.6638246,127.0372804
(지번) 쌍문동 516-3,37.6582145,127.0151356
(지번) 쌍문동 349-25,37.6476831,127.0253078
(지번) 창동 621-10,37.6460372,127.0358410
(지번) 창동 181-46,37.6593503,127.0456005
(지번) 창동 333-1,37.6517371,127.0458395
(지번) 쌍문동 631-3,37.6570402,127.0393320
(지번) 창동 647-1,37.6443836,127.0337611
(지번) 쌍문동 81-50,37.6524317,127.0365610
(지번) 도봉동 349-12,37.6899719,127.0413474
(지번) 창동 333-2,37.6518152,127.0461812
(지번) 방학동 312-2,37.6651643,127.0304223
(지번) 도봉동 281-15,37.6876755,127.0424476
(지번) 창동 581-28,37.6400853,127.0372929
(지번) 방학동 704-19,37.6662832,127.0421883
(지번) 창동 75-4,37.6520494,127.0465425
(지번) 방학동 716-16,37.6663833,127.0449134
(지번) 창동 826,37.6557245,127.0428805
(지번) 창동 578-146,37.6389395,127.0381102
(지번) 쌍문동 88-26,37.6494314,127.0342710
(지번) 쌍문2동 651,37.6567799,127.0388341
(지번) 창동 6,37.6526399,127.0493059
(지번) 창동 655-3,37.6469081,127.0346311
(지번) 창동 552-48,37.6376382,127.0374490
(지번) 쌍문동 143-61,37.6510912,127.0348496
(지번) 창동 14,37.6536747,127.0509766
(지번) 창동 5,37.6528077,127.0488416
(지번) 방학동 645-3,37.6695968,127.0396534
(지번) 방학동 704-37,37.6662506,127.0425663
(지번) 도봉동 635-5,37.6705119,127.0465904
(지번) 쌍문동 423-47,37.6510904,127.0131971
(지번) 방학동 676-20,37.6626452,127.0402929
(지번) 방학동 686-16,37.6647526,127.0398365
(지번) 창동 655-20,37.6473274,127.0344309
(지번) 창동 749-16,37.6594418,127.0417992
(지번) 도봉동 633-1,37.6742924,127.0475029
(지번) 방학동 654-19,37.6673260,127.0425587
(지번) 창동 26,37.6512705,127.0503498
(지번) 쌍문동 88,37.6510812,127.0357904
(지번) 도봉동 282-317,37.6882957,127.0421082
(지번) 방학동 619-16,37.6669695,127.0335913
(지번) 창동 503-3,37.6336862,127.0413614
(지번) 방학동 603-4,37.6675234,127.0334252
(지번) 창동 296-17,37.6544170,127.0410487
(지번) 방학동 264-64,37.6619829,127.0374937
(지번) 도봉동 612-9,37.6711710,127.0417216
(지번) 창동 651-81,37.6467165,127.0354217
(지번) 창신동 695-1,37.5718026,127.0100784
(지번) 창신동 542,37.5721259,127.0115722
(지번) 용두동 119-20,37.5771076,127.0307883
(지번) 용두동 232-26,37.5774996,127.0285740
(지번) 전농동 295-48,37.5780250,127.0562985
(지번) 신설동 104-3,37.5742928,127.0243156
(지번) 답십리동 33-28,37.5699068,127.0578293
(지번) 제기동 470,37.5822831,127.0437168
(지번) 이문동 288-23,37.5965713,127.0609378
(지번) 신설동 76-36,37.5765377,127.0252918
(지번) 장안동 367-3,37.5709573,127.0715271
(지번) 제기동 838,37.5828259,127.0399899
(지번) 전농동 602-9,37.5850407,127.0513007
(지번) 신설동 80-4,37.5765352,127.0241334
(지번) 청량리동 773,37.5805977,127.0436570
(지번) 청량리동 50-18,37.5834328,127.0489974
(지번) 회기동 16-10,37.5926400,127.0531682
(지번) 장안동 390-3,37.5706274,127.0679290
(지번) 이문동 255-380,37.6039620,127.0618436
(지번) 제기동 886-22,37.5830402,127.0370936
(지번) 답십리동 267-8,37.5685579,127.0568112
(지번) 이문동 341-39,37.5923580,127.0569322
(지번) 장안동 433-20,37.5629901,127.0663131
(지번) 휘경동 317-53,37.5883993,127.0571071
(지번) 장안동 308-9,37.5727297,127.0726624
(지번) 제기동 892-12,37.5795602,127.0362839
(지번) 회기동 60-101,37.5916307,127.0500834
(지번) 전농동 295-410,37.5763212,127.0580645
(지번) 청량리동 520-14,37.5870223,127.0425547
(지번) 용두동 52-12,37.5772030,127.0374735
(지번) 회기동 45-52,37.5908560,127.0535050
(지번) 용두동 233-20,37.5781265,127.0279138
(지번) 장안동 313-4,37.5780856,127.0725255
(지번) 답십리동 530-27,37.5645595,127.0564420
(지번) 신설동 93-3,37.5736875,127.0275185
(지번) 회기동 54-39,37.5911630,127.0554042
(지번) 회기동 57-11,37.5909177,127.0543761
(지번) 제기동 137-41,37.5884397,127.0352880
(지번) 제기동 1158-49,37.5784854,127.0331156
(지번) 제기동 1021,37.5796209,127.0394979
(지번) 장안동 433-19,37.5628029,127.0658522
(지번) 회기동 42-31,37.5923599,127.0520593
(지번) 장안동 367-3,37.5709573,127.0715271
(지번) 청량리동 299,37.5816856,127.0449398
(지번) 장안동 329-3,37.5739731,127.0754093
(지번) 답십리동 488-326,37.5674226,127.0571248
(지번) 장안동 362-1,37.5668268,127.0686061
(지번) 휘경동 317-60,37.5881414,127.0568294
(지번) 회기동 17,37.5923682,127.0533942
(지번) 답십리동 268-8,37.5684992,127.0565619
(지번) 휘경동 335-20,37.5892520,127.0560491
(지번) 청량리동 311,37.5821452,127.0448938
(지번) 용두동 231-10,37.5780413,127.0300347
(지번) 장안동 433-9,37.5626524,127.0660812
(지번) 장안동 366-1,37.5707541,127.0710872
(지번) 청량리동 444-7,37.5813888,127.0462460
(지번) 장안동 430-3,37.5651024,127.0667048
(지번) 휘경동 293-171,37.5888418,127.0601298
(지번) 회기동 60-6,37.5912895,127.0526649
(지번) 용두동 118-81,37.5741396,127.0310435
(지번) 전농동 60-32,37.5789018,127.0571694
(지번) 회기동 54-39,37.5911630,127.0554042
(지번) 장안동 368-1,37.5719280,127.0724157
(지번) 장안동 464-5,37.5618814,127.0663435
(지번) 장안동 431-5,37.5634819,127.0652475
(지번) 장안동 108-3,37.5788660,127.0687145
(지번) 장안동 334-6,37.5716067,127.0751063
(지번) 장안동 330-9,37.5728469,127.0730350
(지번) 용두동 38-3,37.5744918,127.0375270
(지번) 전농동 588-1,37.5801542,127.0479257
(지번) 장안동 431-4,37.5634999,127.0655991
(지번) 용두동 119-3,37.5772052,127.0310769
(지번) 이문동 345-7,37.5930009,127.0574536
(지번) 장안동 345-1,37.5704398,127.0716204
(지번) 장안동 365-6,37.5687187,127.0698208
(지번) 휘경동 276-33,37.5893741,127.0615021
(지번) 전농동 103-312,37.5855027,127.0529950
(지번) 장안동 430-2,37.5653775,127.0668945
(지번) 이문동 339-1,37.5914549,127.0565049
(지번) 장안동 387-13,37.5721820,127.0684426
(지번) 이문동 349-11,37.5968132,127.0566183
(지번) 장안동 431-1,37.5640958,127.0656649
(지번) 제기동 631-5,37.5804829,127.0423944
(지번) 장안동 302-3,37.5764954,127.0717605
(지번) 답십리동 70-19,37.5735763,127.0577367
(지번) 신설동 117-5,37.5740792,127.0237797
(지번) 회기동 16-1,37.5927337,127.0531605
(지번) 장안동 415-9,37.5621917,127.0622340
(지번) 회기동 16-6,37.5919261,127.0530678
(지번) 답십리동 250-6,37.5718068,127.0563299
(지번) 장안동 164-2,37.5700551,127.0649137
(지번) 장안동 372-4,37.5705176,127.0702400
(지번) 장안동 433-7,37.5623503,127.0655285
(지번) 장안동 360-4,37.5658975,127.0687282
(지번) 전농1동 602-4,37.5853156,127.0515440
(지번) 휘경동 244-1,37.5906775,127.0612730
(지번) 신설동 76-10,37.5767218,127.0255200
(지번) 회기동 346-18,37.5908347,127.0560608
(지번) 장안동 389-1,37.5718394,127.0686795
(지번) 이문동 331-8,37.5955784,127.0575351
(지번) 신설동 102-26,37.5751222,127.0249913
(지번) 휘경동 261-1,37.5904468,127.0612245
(지번) 장안동 338-2,37.5699023,127.0732702
(지번) 청량리동 42-14,37.5847452,127.0486839
(지번) 전농동 152-11,37.5833396,127.0548341
(지번) 용두동 39-110,37.5746687,127.0407089
(지번) 이문동 305-85,37.5954578,127.0612334
(지번) 장안동 463-3,37.5623768,127.0663450
(지번) 장안동 428-4,37.5659854,127.0665284
(지번) 장안동 374-3,37.5678715,127.0685294
(지번) 용두동 112-33,37.5772520,127.0312872
(지번) 청량리동 769-1,37.5802546,127.0438060
(지번) 이문동 336-3,37.5938008,127.0586598
(지번) 이문동 341-55,37.5920155,127.0567045
(지번) 용두동 45-1,37.5774022,127.0379964
(지번) 이문동 305-78,37.5954399,127.0615486
(지번) 제기동 478,37.5821408,127.0436862
(지번) 장안동 368-1,37.5719280,127.0724157
(지번) 제기동 1152-13,37.5828502,127.0302928
(지번) 장안동 337-22,37.5713942,127.0738550
(지번) 답십리동 262-2,37.5695677,127.0568945
(지번) 청량리동 773,37.5805977,127.0436570
(지번) 답십리동 494-1,37.5669129,127.0533028
(지번) 회기동 11-7,37.5922199,127.0536220
(지번) 신설동 98-33,37.5756489,127.0263962
(지번) 회기동 16-36,37.5926712,127.0529248
(지번) 이문동 304-15,37.5960071,127.0624659
(지번) 휘경동 183-433,37.5903925,127.0567929
(지번) 전농동 127-379,37.5804304,127.0508520
(지번) 제기동 1213,37.5909851,127.0379133
(지번) 신설동 104-8,37.5741372,127.0242162
(지번) 회기동 16-23,37.5920986,127.0529974
(지번) 제기동 137-130,37.5868507,127.0335187
(지번) 회기동 54-12,37.5915055,127.0552564
(지번) 용두동 234-1,37.5772661,127.0301614
(지번) 이문동 264-207,37.5991144,127.0575215
(지번) 장안동 390-3,37.5706274,127.0679290
(지번) 제기동 1013,37.5789937,127.0400812
(지번) 전농동 103-340,37.5839603,127.0536151
(지번) 장안동 105-11,37.5782004,127.0692867
(지번) 장안동 286-4,37.5785424,127.0708078
(지번) 용두동 119-15,37.5767420,127.0308018
(지번) 전농동 103-286,37.5849589,127.0523256
(지번) 장안동 338-9,37.5692887,127.0729313
(지번) 청량리동 782,37.5810305,127.0433093
(지번) 장안동 430-2,37.5653775,127.0668945
(지번) 회기동 60-147,37.5913968,127.0486703
(지번) 회기동 16-18,37.5922666,127.0530416
(지번) 장안동 293-20,37.5733112,127.0690931
(지번) 장안동 304-1,37.5759254,127.0717220
(지번) 전농동 127-123,37.5828332,127.0527924
(지번) 이문동 331-56,37.5954736,127.0573570
